country_name,Confirmed,Deceased,Vaccinated,Percent_Vaxed,population,male_confirmed,male_deceased,female_confirmed,femaled_deceased,percent_male_confirmed,percent_female_confirmed
China,4740690,26027,480153000,0.3335962405912431,1439323774,,,,,,
India,122638844,1485600,1230181666,0.89143315729391681,1380004385,184898,60,103692,26,0.0015076626129972327,0.00084550699124332906
United States of America,252025577,2973813,583843949,1.7638648944097417,331002647,36227844,54111,41348545,38778,0.14374669599506562,0.1640648758439307
Indonesia,13845974,362563,167817196,0.61353822162218308,273523621,,,,,,
Pakistan,1529323,30125,123288351,0.55813776078989363,220892331,,,,,,
Brazil,100317860,2165965,325632396,1.5319594532745431,212559409,27978015,1043417,26626229,820438,0.27889365861672089,0.26541863034159618
Nigeria,256352,3144,20088053,0.097448788427038038,206139587,,,,,,
Bangladesh,2497320,29131,118357409,0.71867054720825563,164689383,,,,,,
Russia,29558107,701099,72912144,0.4996225291819355,145934460,,,,,,
Japan,17464071,61249,102230458,0.80829633922860178,126476458,,,,,,
Ethiopia,479484,7517,3231195,0.028106248219490516,114963583,,,,,,
Mexico,14262183,923342,79945512,0.72028205504231468,110991953,6780448,347288,6520936,558072,0.47541445794097581,0.45721864598147421
Egypt,514008,24720,35097999,0.34297360390131948,102334403,,,,,,
Philippines,7708286,127917,70007698,0.69328759379533444,100979303,3065626,57286,2952913,43703,0.39770527455779403,0.38308295774183782
Vietnam,10732429,43083,79540994,0.81715791979425056,97338583,,,,,,
Democratic Republic of the Congo,104312,1345,1707664,0.019066963264667,89561404,,,,,,
Iran,7233880,141352,57759688,0.68767302418811249,83992953,,,,,,
Germany,52073095,380336,97263260,1.1715753075134547,83019213,18276543,192018,19068975,168021,0.35097861957312121,0.36619630540493125
Turkey,15078186,98976,52742203,0.64316714908691763,82003882,,,,,,
Thailand,8975611,60668,52676453,0.75467721494124251,69799978,705833,,743272,,0.078638991819052761,0.082810184175762525
France,85458492,314269,156119921,2.3297001115442235,67012883,,,,,,
United Kingdom,88735178,533678,132560299,1.9889878949293407,66647112,,,,,,
Italy,51100982,335099,92050909,1.5250430975739944,60359546,,,,,,
Tanzania,35159,840,3810155,0.063785137673112058,59734213,,,,,,
South Africa,10910648,248812,18924345,0.31908216148426144,59308690,,,,,,
Myanmar,613460,19434,26070318,0.47914752259492105,54409794,,,,,,
Kenya,388648,5651,12637573,0.23502450191830959,53771300,,,,,,
South Korea,18259405,24654,44600861,0.86993508361543426,51269183,,,,,,
Colombia,17598202,474964,35925706,0.70604696856412463,50882884,8092072,280833,9128462,186477,0.45982379336252649,0.51871560515102622
Spain,30913144,215693,864751191,18.423633499839998,46937060,13058337,117630,15021957,95195,0.4224202171089424,0.48594077004914155
Uganda,165251,3605,10788123,0.235852364399554,45741000,,,,,,
Argentina,27066067,378884,48122395,1.0708449988508795,44938712,12923032,213949,13974223,158373,0.47746249944626235,0.51630046581943356
Algeria,265937,6875,6126848,0.13971955011423559,43851043,,,,,,
Sudan,75791,4950,3704134,0.084474247449826359,43849269,,,,,,
Ukraine,10252223,222795,15153576,0.34649607869289262,43733759,,,,,,
Iraq,2330049,25223,7332272,0.18229278272413826,40222503,,,,,,
Afghanistan,324212,14280,4752293,0.12207797398815429,38928341,,,,,,
Poland,14672979,319365,56247664,1.4812614878244992,37972812,,,,,,
Canada,11501687,122316,90072961,2.386534532194331,37742157,,,,,,
Morocco,1176165,16082,23406237,0.63413392449932615,36910558,,,,,,
Saudi Arabia,778983,9175,23515058,0.6754509058129049,34813867,,,,,,
Uzbekistan,239280,1637,15115457,0.45162290857334231,33469199,,,,,,
Angola,99761,1900,7014445,0.2134238427503799,32866267,,,,,,
Malaysia,9064165,71450,54307652,1.6630527263484753,32655400,3353079,41056,2646158,30394,0.36992695962617628,0.29193621254688107
Mozambique,451183,4395,21245530,0.6797387398383673,31255435,,,,,,
Ghana,161935,1445,6034301,0.19419791075483833,31072945,,,,,,
Yemen,11822,2149,421144,0.014120044653705791,29825968,,,,,,
Peru,10115203,622971,27462153,0.93466276703018769,29381884,4889523,391529,4966076,224758,0.48338357618725003,0.4909516892542839
Nepal,979278,11952,19635582,0.67390985313147544,29136808,,,,,,
Venezuela,915958,5724,14135474,0.4970988301671585,28435943,,,,,,
Madagascar,64685,1396,2016424,0.07281869981021645,27691019,,,,,,
Cameroon,119947,1930,1214629,0.045755866149242687,26545864,,,,,,
Ivory Coast,82492,799,6761649,0.25633400971064257,26378275,,,,,,
North Korea,0,0,,,25778815,,,,,,
Australia,15271239,18292,42926615,1.6834045225544385,25499881,1,,1,,6.5482571518918665e-08,6.5482571518918665e-08
Niger,9031,310,1550869,0.06406792748897451,24206636,,,,,,
Taiwan,5336594,4403,19102222,0.8020490599587895,23816775,2545345,,2790000,,0.47696058572190425,0.52280536986699755
Sri Lanka,663965,16519,14510257,0.67762983199654414,21413250,,,,,,
Burkina Faso,20899,384,1541804,0.073758957805565226,20903278,,,,,,
Mali,31127,736,1745716,0.086204647176506416,20250834,,,,,,
Romania,5570954,63954,8113894,0.41793049283168243,19414458,,,,,,
Malawi,86107,2642,1590280,0.083130357598854787,19129955,,,,,,
Kazakhstan,1395068,19017,9291109,0.49482100349118724,18776707,,,,,,
Zambia,323337,3989,3877094,0.21089552216073623,18383956,,,,,,
Guatemala,871112,18287,6275340,0.35027303350209343,17915567,,,,,,
Ecuador,890541,35658,13994006,0.79317340642722978,17643060,,,,,,
Chile,11478835,179520,17544499,0.9983211565401463,17574003,,,,,,
Syria,55907,3150,1627991,0.093024564734912524,17500657,,,,,,
Netherlands,23808359,66398,11960823,0.69209062546163924,17282163,,,,,,
Senegal,86150,1967,1399875,0.0836049242919673,16743930,,,,,,
Cambodia,136262,3056,14328204,0.85700274257309261,16718971,,,,,,
Chad,7420,193,2087782,0.12710336792736379,16425859,,,,,,
Somalia,26675,1361,1425069,0.089665221375229268,15893219,,,,,,
Zimbabwe,254155,5521,4559559,0.30677396181788419,14862927,,,,,,
Guinea,36817,442,3369467,0.256568976345624,13132792,,,,,,
Rwanda,130382,1459,8477403,0.65451406783198141,12952209,,,,,,
Benin,26914,163,2689667,0.22186117887375922,12123198,,,,,,
Burundi,42330,15,13667,0.0011493778247198398,11890781,,,,,,
Tunisia,1043540,28648,6368313,0.53883736660242343,11818618,,,,,,
Bolivia,912473,21951,9931000,0.85076461302374906,11673029,,,,,,
Belgium,8297588,31835,9418014,0.82213769624929256,11455519,,,,,,
Haiti,53794,1485,131836,0.011561992409932074,11402533,,,,,,
Cuba,1105631,8529,9821488,0.86711582700428791,11326616,,,,,,
South Sudan,17659,138,965686,0.0862702679330543,11193729,,,,,,
Dominican Republic,592578,4382,5934542,0.54706807877355845,10847904,,,,,,
Greece,3500489,30020,7626796,0.71114975953879489,10724599,,,,,,
Czech Republic,11721129,120909,12933788,1.2144629946102274,10649800,5671335,68373,6094550,52536,0.48385569342338952,0.51996271007681938
Portugal,4961375,25168,8866042,0.86273936257427908,10276617,,,,,,
Sweden,5021861,38098,7647211,0.74751443888844626,10230185,,,,,,
Jordan,1697673,14068,4478753,0.43895830107202294,10203140,,,,,,
Azerbaijan,792884,9715,4551522,0.44890457063814365,10139175,,,,,,
Honduras,425655,10902,5311369,0.53625231811294294,9904608,,,,,,
United Arab Emirates,918815,2305,9452575,0.95573232629620641,9890400,,,,,,
Hungary,1921486,46571,6196325,0.63404069435479615,9772756,,,,,,
Tajikistan,17786,125,4964371,0.520502971279484,9537642,,,,,,
Belarus,982867,6978,6227709,0.65906418037867487,9449321,,,,,,
Papua New Guinea,44662,658,262997,0.029394904027896639,8947027,,,,,,
Austria,13026934,59949,12529870,1.4144021041283925,8858775,,,,,,
Israel,11435898,18188,16662368,1.9250521717822144,8655541,,,,,,
Switzerland,7369769,26546,11921018,1.3951641793630005,8544527,,,,,,
Togo,37196,273,1947909,0.23529062890760136,8278736,,,,,,
Sierra Leone,13020,219,1658971,0.20796967776672515,7976985,,,,,,
Paraguay,652044,18932,3442576,0.45621662767873095,7545924,,,,,,
Hong Kong,15441,216,6387024,0.85194534124904564,7496988,7417,127,,,0.48034453727090215,
Laos,210158,757,5046506,0.69362478963807028,7275556,,,,,,
Bulgaria,1167147,37204,4292748,0.61324629762777039,7000039,,,,,,
Serbia,2020596,16101,3230082,0.46384139382092787,6963764,,,,,,
Libya,525756,6678,1115490,0.16234076672972617,6871287,,,,,,
Lebanon,1101109,10445,2350937,0.3444373272822478,6825442,,,,,,
Nicaragua,14577,240,4973345,0.75074412556679282,6624554,,,,,,
Kyrgyzstan,200993,2991,1312225,0.20113221700590925,6524191,,,,,,
El Salvador,164134,4135,4309666,0.66443608515986474,6486201,,,,,,
Turkmenistan,0,0,2900494,0.48091594573340207,6031187,,,,,,
Singapore,1343645,1398,4993289,0.85350363218019865,5850343,,,,,,
Denmark,3145819,6414,4795965,0.82602447330652118,5806081,,,,,,
Republic of the Congo,24128,385,587304,0.10643244077844298,5518092,,,,,,
Finland,1277743,4714,4330272,0.78476541609255224,5517919,526714,,587525,,0.4122221761340113,0.45981468886935795
Slovakia,1791426,20119,5092175,0.93427186633839843,5450421,,,,,,
Norway,2851557,3210,4043126,0.75881477688950816,5328212,,,,,,
Oman,389758,4260,3072218,0.6016145310931571,5106622,,,,,,
Palestine,657879,5660,0,0.0,5101416,,,,,,
Costa Rica,904934,8525,4142962,0.81328411574613368,5094114,,,,,,
Liberia,7460,294,1438014,0.28432302023241107,5057677,,,,,,
Ireland,1570519,7416,4038332,0.82343686279627426,4904240,,,,,,
Central African Republic,14371,113,1034845,0.21426409240699959,4829764,,,,,,
New Zealand,1249954,1286,4108597,0.85201129850009316,4822233,209810,,228116,,0.16785417703371483,0.18249951598218814
Mauritania,59247,982,1944860,0.418280046282954,4649660,,,,,,
Panama,891349,8299,3105045,0.719631970942586,4314768,,,,,,
Kuwait,636240,2555,3272871,0.76637928067095606,4270563,,,,,,
Croatia,1139835,16019,2232654,0.5477230765758494,4076246,,,,,,
Moldova,519228,11551,1055428,0.26163551822364262,4033963,,,,,,
Georgia,1658240,16835,1266450,0.3174716576735791,3989175,,,,,,
Eritrea,9771,103,,,3546427,,,,,,
Uruguay,943877,7290,2865396,0.82487656629320616,3473727,,,,,,
Bosnia and Herzegovina,378112,15795,836080,0.25483911771922524,3280815,,,,,,
Mongolia,926282,2115,2154011,0.657052818967926,3278292,,,,,,
Armenia,423044,8625,974023,0.32870269442102784,2963234,,,,,,
Jamaica,140670,3084,697641,0.23559711883278214,2961161,,,,,,
Qatar,372704,677,2077593,0.72112104572622582,2881060,,,,,,
Albania,276731,3497,1241711,0.43379656494296626,2862427,,,,,,
Puerto Rico,718575,4440,,,2860840,,,,,,
Lithuania,1064308,9155,1875234,0.67112044160298678,2794184,,,,,,
Namibia,165507,4049,579739,0.22816141895285008,2540916,,,,,,
Gambia,12002,365,343951,0.14232470877209244,2416664,,,,,,
Botswana,310419,2701,1962880,0.83469090522511025,2351625,,,,,,
Gabon,47711,304,256021,0.11502798185582425,2225728,,,,,,
Lesotho,33746,699,735488,0.34332468822528817,2142252,,,,,,
Slovenia,1025889,6851,1294001,0.62184440638413618,2080908,,,,,,
Macedonia,312607,9316,813222,0.39151195013123863,2077132,,,,,,
Guinea-Bissau,8306,171,340753,0.17314702555592029,1967998,,,,,,
Latvia,830977,5841,1305411,0.679912894381573,1919968,,,,,,
Kosovo,228399,3129,,,1883018,,,,,,
Bahrain,597184,1489,1022576,0.60095569831151341,1701583,,,,,,
Equatorial Guinea,15945,183,205962,0.14680270993631436,1402985,,,,,,
Trinidad and Tobago,164723,3963,712971,0.5094502215448331,1399491,,,,,,
Estonia,1146256,2586,847286,0.63954801406983586,1324820,521181,,624650,,0.45468115325023378,0.54494807442665516
East Timor,22940,133,682952,0.51799927490174014,1318442,,,,,,
Mauritius,227442,1000,954988,0.75091427910930231,1271767,,,,,,
Swaziland,72904,1410,327988,0.28270830675663094,1160164,,,,,,
Djibouti,15690,189,135389,0.13703312341472992,988002,,,,,,
Fiji,65217,865,631772,0.70475344806814477,896444,,,,,,
Réunion,419968,799,,,895308,,,,,,
Cyprus,493984,1068,642390,0.73340647723082231,875899,,,,,,
Comoros,8131,160,300630,0.34571265934141754,869595,,,,,,
Guyana,65892,1239,367208,0.46685372616675924,786559,,,,,,
Bhutan,59644,21,671202,0.8698698309513071,771612,,,,,,
Solomon Islands,21237,149,169406,0.24663186184446145,686878,,,,,,
Macau,73,0,565692,0.87117728408142392,649342,,,,,,
Montenegro,237939,2722,283168,0.45512084888344567,622182,,,,,,
Luxembourg,252693,1082,461587,0.75190016517509539,613894,,,,,,
Western Sahara,,,,,597330,,,,,,
Suriname,80673,1352,237797,0.40535836654540991,586634,,,,,,
Cape Verde,57096,402,304730,0.54808736879213216,555988,,,,,,
Maldives,179979,299,382553,0.70772113915292434,540542,,,,,,
Malta,96290,727,468309,0.94884096936739071,493559,,,,,,
Brunei,153611,164,426659,0.9752584671861535,437483,,,,,,
Belize,60863,678,202632,0.5096109108925333,397621,,,,,,
Bahamas,35332,812,151948,0.38639230205875175,393248,,,,,,
Martinique,180883,950,,,375265,,,,,,
Iceland,190014,153,289713,0.8115414674319521,356991,,,,,,
Vanuatu,10695,14,118044,0.38432036464268271,307150,,,,,,
French Guiana,84507,399,,,298682,,,,,,
Barbados,82255,467,136508,0.47502357579574833,287371,,,,,,
New Caledonia,62623,313,180041,0.63063634230150867,285491,,,,,,
French Polynesia,73106,649,180392,0.64218380656736818,280904,,,,,,
Mayotte,37751,187,,,272813,,,,,,
São Tomé and Príncipe,6010,73,89701,0.40929271175072207,219161,,,,,,
Samoa,14315,28,196954,0.99266166019857871,198410,,,,,,
Netherlands Antilles,,,,,197041,,,,,,
Saint Lucia,26564,371,36761,0.20019169085493033,183629,,,,,,
Guam,42029,369,,,168783,,,,,,
Curaçao,44127,277,95260,0.58049969530773915,164100,,,,,,
Kiribati,3209,13,53767,0.45013646333908208,119446,,,,,,
Micronesia,30,0,,,115021,,,,,,
Grenada,18035,231,38452,0.34173783983149514,112519,,,,,,
Saint Vincent and the Grenadines,8916,108,20778,0.18727861050771991,110947,,,,,,
Aruba,38301,216,72468,0.67875540902534515,106766,,,,,,
Tonga,11909,12,90245,0.85380852815122477,105697,,,,,,
Jersey,51132,129,74976,0.71067298578199056,105500,,,,,,
United States Virgin Islands,20472,115,,,104423,,,,,,
Seychelles,44397,167,80695,0.82057148667886926,98340,,,,,,
Antigua and Barbuda,8492,140,59301,0.605557144024181,97928,,,,,,
Isle of Man,33251,107,66712,0.784551698184213,85032,,,,,,
Andorra,43224,153,52278,0.67660648417782954,77265,,,,,,
Dominica,14638,67,30036,0.41721881901904406,71991,,,,,,
Cayman Islands,25886,28,56095,0.85354534388314063,65720,,,,,,
Guernsey,25874,47,50829,0.80329034705101465,63276,,,,,,
Bermuda,15428,138,46066,0.73974274565220888,62273,,,,,,
Marshall Islands,18,0,29079,0.49124911308578573,59194,,,,,,
Northern Mariana Islands,11482,34,,,57557,,,,,,
Greenland,11971,21,37299,0.656996406679349,56772,,,,,,
American Samoa,6192,31,,,55197,,,,,,
Saint Kitts and Nevis,5852,43,26167,0.49193487742517672,53192,,,,,,
Faroe Islands,34658,28,40894,0.83687711040622126,48865,,,,,,
Sint Maarten,10434,86,16281,0.37966979152091784,42882,,,,,,
Monaco,12514,57,18504,0.47151156864743654,39244,,,,,,
Turks and Caicos Islands,6160,36,19807,0.511570845601529,38718,,,,,,
Liechtenstein,17619,84,26237,0.68364688102558757,38378,,,,,,
San Marino,17124,115,23604,0.69550356532500446,33938,,,,,,
Gibraltar,18806,101,41021,1.2175655219494821,33691,,,,,,
British Virgin Islands,6902,63,14254,0.47140920064821246,30237,,,,,,
Caribbean Netherlands,,,15071,0.57476831547233131,26221,,,,,,
Palau,5165,6,18210,1.0065222197656423,18092,,,,,,
Cook Islands,5717,1,14656,0.83443406968799816,17564,,,,,,
Anguilla,3342,9,9311,0.620650579922677,15002,,,,,,
Tuvalu,3,0,3859,0.32725576662143824,11792,,,,,,
Wallis and Futuna,454,7,4969,0.44184598968522143,11246,,,,,,
Nauru,3,0,6771,0.62497692449695408,10834,,,,,,
Saint Helena,0,0,3421,0.56349859990116946,6071,,,,,,
Montserrat,1010,8,1789,0.357871574314863,4999,,,,,,
Antarctica,,,,,4400,,,,,,
British Indian Ocean Territory,,,,,4000,,,,,,
Falkland Islands,1733,0,58,0.016652311225954636,3483,,,,,,
Christmas Island,,,,,1843,,,,,,
Norfolk Island,,,,,1748,,,,,,
Niue,9,0,1385,0.8559950556242274,1618,,,,,,
Tokelau,0,0,,,1350,,,,,,
Vatican City,26,0,,,809,,,,,,
Cocos Islands,,,,,596,,,,,,
United States Minor Outlying Islands,,,,,300,,,,,,
French Southern Territories,,,,,196,,,,,,
Pitcairn Islands,0,0,17,0.34,50,,,,,,
South Georgia and the South Sandwich Islands,,,,,30,,,,,,
Bouvet Island,,,,,0,,,,,,
Heard Island and McDonald Islands,,,,,0,,,,,,
Svalbard and Jan Mayen,,,,,,,,,,,